loading raw_datasets successfully

Processing train split with 836 samples:
Finished processing train split.

Processing test split with 29 samples:
Finished processing test split.

Processing validation split with 148 samples:
Finished processing validation split.
{'eval_loss': 8.602301597595215, 'eval_map': 0.0, 'eval_map_50': 0.0, 'eval_map_75': 0.0, 'eval_map_small': 0.0, 'eval_map_medium': 0.0, 'eval_map_large': 0.0, 'eval_mar_1': 0.0005, 'eval_mar_10': 0.0005, 'eval_mar_100': 0.0005, 'eval_mar_small': 0.0, 'eval_mar_medium': 0.0, 'eval_mar_large': 0.0005, 'eval_map_Coverall': 0.0, 'eval_mar_100_Coverall': 0.0, 'eval_map_Face_Shield': 0.0, 'eval_mar_100_Face_Shield': 0.0, 'eval_map_Gloves': 0.0, 'eval_mar_100_Gloves': 0.0023, 'eval_map_Goggles': 0.0, 'eval_mar_100_Goggles': 0.0, 'eval_map_Mask': 0.0, 'eval_mar_100_Mask': 0.0, 'eval_runtime': 7.5357, 'eval_samples_per_second': 19.64, 'eval_steps_per_second': 2.521, 'epoch': 10.0}
{'loss': 3.9946, 'grad_norm': 8.032907485961914, 'learning_rate': 0.0009750638420266008, 'epoch': 10.1}
{'loss': 3.8609, 'grad_norm': 11.850716590881348, 'learning_rate': 0.0009745951731267692, 'epoch': 10.19}
{'loss': 3.357, 'grad_norm': 13.230433464050293, 'learning_rate': 0.0009741222556436132, 'epoch': 10.29}
{'loss': 2.7738, 'grad_norm': 14.208126068115234, 'learning_rate': 0.0009736450938106976, 'epoch': 10.38}
{'loss': 2.7597, 'grad_norm': 9.566226959228516, 'learning_rate': 0.0009731636918995821, 'epoch': 10.48}
{'loss': 2.9158, 'grad_norm': 16.236787796020508, 'learning_rate': 0.0009726780542197844, 'epoch': 10.57}
{'loss': 3.0551, 'grad_norm': 8.357510566711426, 'learning_rate': 0.0009721881851187406, 'epoch': 10.67}
{'loss': 3.3957, 'grad_norm': 12.094985008239746, 'learning_rate': 0.0009716940889817661, 'epoch': 10.76}
{'loss': 3.1113, 'grad_norm': 13.37302017211914, 'learning_rate': 0.0009711957702320175, 'epoch': 10.86}
{'loss': 3.1645, 'grad_norm': 10.188268661499023, 'learning_rate': 0.0009706932333304517, 'epoch': 10.95}
{'eval_loss': 9.23871898651123, 'eval_map': 0.0, 'eval_map_50': 0.0001, 'eval_map_75': 0.0, 'eval_map_small': 0.0, 'eval_map_medium': 0.0, 'eval_map_large': 0.0, 'eval_mar_1': 0.0009, 'eval_mar_10': 0.0009, 'eval_mar_100': 0.0009, 'eval_mar_small': 0.0, 'eval_mar_medium': 0.0008, 'eval_mar_large': 0.0009, 'eval_map_Coverall': 0.0, 'eval_mar_100_Coverall': 0.0, 'eval_map_Face_Shield': 0.0, 'eval_mar_100_Face_Shield': 0.0, 'eval_map_Gloves': 0.0001, 'eval_mar_100_Gloves': 0.0045, 'eval_map_Goggles': 0.0, 'eval_mar_100_Goggles': 0.0, 'eval_map_Mask': 0.0, 'eval_mar_100_Mask': 0.0, 'eval_runtime': 7.0991, 'eval_samples_per_second': 20.848, 'eval_steps_per_second': 2.676, 'epoch': 11.0}
{'loss': 2.9522, 'grad_norm': 19.852161407470703, 'learning_rate': 0.0009701864827757868, 'epoch': 11.05}
{'loss': 3.2452, 'grad_norm': 20.715839385986328, 'learning_rate': 0.0009696755231044618, 'epoch': 11.14}
{'loss': 2.9469, 'grad_norm': 13.860151290893555, 'learning_rate': 0.0009691603588905955, 'epoch': 11.24}
{'loss': 2.7622, 'grad_norm': 11.898645401000977, 'learning_rate': 0.0009686409947459458, 'epoch': 11.33}
{'loss': 3.143, 'grad_norm': 10.36644458770752, 'learning_rate': 0.0009681174353198686, 'epoch': 11.43}
{'loss': 2.8526, 'grad_norm': 9.652680397033691, 'learning_rate': 0.000967589685299276, 'epoch': 11.52}
{'loss': 2.989, 'grad_norm': 26.959962844848633, 'learning_rate': 0.0009670577494085944, 'epoch': 11.62}
{'loss': 2.9082, 'grad_norm': 8.255345344543457, 'learning_rate': 0.0009665216324097222, 'epoch': 11.71}
{'loss': 3.1698, 'grad_norm': 6.730332374572754, 'learning_rate': 0.0009659813391019867, 'epoch': 11.81}
{'loss': 2.9719, 'grad_norm': 20.052658081054688, 'learning_rate': 0.0009654368743221021, 'epoch': 11.9}
{'loss': 2.9333, 'grad_norm': 21.9890193939209, 'learning_rate': 0.0009648882429441257, 'epoch': 12.0}
{'eval_loss': 9.382137298583984, 'eval_map': 0.0, 'eval_map_50': 0.0, 'eval_map_75': 0.0, 'eval_map_small': 0.0191, 'eval_map_medium': 0.0001, 'eval_map_large': 0.0, 'eval_mar_1': 0.0015, 'eval_mar_10': 0.0015, 'eval_mar_100': 0.0015, 'eval_mar_small': 0.2, 'eval_mar_medium': 0.0071, 'eval_mar_large': 0.0001, 'eval_map_Coverall': 0.0, 'eval_mar_100_Coverall': 0.0, 'eval_map_Face_Shield': 0.0, 'eval_mar_100_Face_Shield': 0.0, 'eval_map_Gloves': 0.0, 'eval_mar_100_Gloves': 0.0, 'eval_map_Goggles': 0.0, 'eval_mar_100_Goggles': 0.0, 'eval_map_Mask': 0.0, 'eval_mar_100_Mask': 0.0073, 'eval_runtime': 7.0495, 'eval_samples_per_second': 20.994, 'eval_steps_per_second': 2.695, 'epoch': 12.0}
{'loss': 2.8958, 'grad_norm': 7.49265718460083, 'learning_rate': 0.0009643354498794139, 'epoch': 12.1}
{'loss': 2.804, 'grad_norm': 6.694021701812744, 'learning_rate': 0.0009637785000765789, 'epoch': 12.19}
{'loss': 3.1963, 'grad_norm': 13.181001663208008, 'learning_rate': 0.0009632173985214438, 'epoch': 12.29}
{'loss': 2.8008, 'grad_norm': 7.600764751434326, 'learning_rate': 0.0009626521502369983, 'epoch': 12.38}
{'loss': 2.893, 'grad_norm': 9.959407806396484, 'learning_rate': 0.0009620827602833541, 'epoch': 12.48}
{'loss': 2.8138, 'grad_norm': 10.850411415100098, 'learning_rate': 0.0009615092337576987, 'epoch': 12.57}
{'loss': 2.7618, 'grad_norm': 37.124568939208984, 'learning_rate': 0.0009609315757942503, 'epoch': 12.67}
{'loss': 2.8026, 'grad_norm': 9.302425384521484, 'learning_rate': 0.0009603497915642121, 'epoch': 12.76}
{'loss': 2.8017, 'grad_norm': 9.5609130859375, 'learning_rate': 0.0009597638862757254, 'epoch': 12.86}
{'loss': 2.9795, 'grad_norm': 13.71475601196289, 'learning_rate': 0.0009591738651738233, 'epoch': 12.95}
